Operator	Old Website	New Website
Inala		https://abr.business.gov.au/ABN/View/75125223645
		https://abr.business.gov.au/AbnHistory/View?id=27020074494
Australian Unity		https://chinesebusinessguide.com.au/cbg-informations/nursingKtoO.asp
Baptcare		https://www.mecwacare.org.au/services/aged-care-homes/hoppers-crossing/
John Curtin		https://www.caringco.com.au/providers/john-curtin-aged-care
Ryman Healthcare		https://www.rymanhealthcare.com.au/retirement-villages/melbourne/john-flynn
Karinya		https://roost.com.au/building/20-little-yarra-rd-yarra-junction-vic-3797/
		https://chinesebusinessguide.com.au/cbg-informations/nursingKtoO.asp
Levande		https://centennialliving.com.au/village/keilor-village/
Kellock Lodge		http://www.kellocklodge.com.au/
Bolton Clarke		https://simplyregional.com.au/retirement-villages-bendigo/
Lifestyle Communities		https://kensingtongardens.com.au/shepparton/retirement-village/
		https://greatershepparton.com.au/assets/files/documents/community/community-plans/Kialla_Lakes_Neighbourhood_Plan.PDF
Kings Living		https://kingsliving.com.au/
Australian Unity		
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/kingston-green/
Kirkbrae		https://www.kirkbrae.org.au/retirement/
Ryman Healthcare		https://www.unitingvictas.org.au/services/housing/retirement-villages/ormond-kirkside-village/
Country Club Living		https://www.kithbrookepark.com.au/
Keyton		https://www.knox.vic.gov.au/sites/default/files/2021-05/bayswater-triangle-master-plan-assessment-of-development-options-report.pdf
Australian Unity		https://www.kooringaclose.com.au/
Australian Unity		https://keyton.com.au/home/our-villages/vic/koorootang-court
		https://www.agedcarefind.com.au/agedcare/aged-care-services/vic/nagambie/nagambie-healthcare/2110
Australian Unity		https://centennialliving.com.au/village/latrobe-village/
Latrobe Valley Village		https://www.lvvillage.com.au/
Latvian Friendly Society		https://app.newly.com.au/employer-profile/1093/latvian-friendly-society/?show_emp_pro=982
St Vincentâ€™s Care		https://www.aboundcommunities.org.au/locations/st-helena-leith-park
Levande		https://www.levande.com.au/community/donvale/
Levande		https://keyton.com.au/home/our-villages/vic/lexington-gardens
		https://lilydalevalleyviews.com.au/
RCA Villages		
Linton Court		https://www.southgippsland.vic.gov.au/directory_record/3686/linton_court_elderly_peoples_homes_society
Lions Club		https://www.sirovilla.org.au/2020/01/why-people-choose-sirovilla
Lions Club		https://lionsvillage.com.au/
Lions Club		https://www.afr.com/property/commercial/ryman-arrives-for-165m-essendon-retirement-village-20210527-p57vvv
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/lisson-manor/
Long Island Village		https://centennialliving.com.au/village/long-island-village/
Lutheran Homes Group		https://lutheranhomes.com.au/retirement-living/hamilton/
Lifestyle Communities		https://centennialliving.com.au/village/homes-for-sale/main-street-pakenham-village-homes/
Lifestyle Communities		https://centennialliving.com.au/village/homes-for-sale/main-street-pakenham-village-homes/
MDHSS		https://www.mallacoota.org.au/wp-content/uploads/2020/02/20181110_mdhss_annual-report-121118-web-version.pdf
Australian Unity		https://www.unitingagewell.org/location/manningtree-hawthorn/
Centennial Living		https://www.maplerise.com.au/
Australian Unity		https://maranoaclose.com.au/
VMCH		https://www.dlook.com.au/find/retirement-home-in-mitchell-vic
Australian Unity		https://www.unitingvictas.org.au/services/housing/retirement-villages/healesville-maroondah-village/
RCA Villages		https://mountmartharotary.org.au/bulletin/View/fb702429-7121-4e49-950f-cbb42f03d20f
RCA Villages		https://www.boltonclarke.com.au/living-options/retirement-living/martha-cove/
Australian Unity		https://keyton.com.au/home/our-villages/vic/marthas-point
Martin Luther Homes		https://www.dailycare.com.au/residential-aged-care/in-vic/martin-luther-homes
		https://www.centralgoldfields.vic.gov.au/files/sharedassets/public/community-services/liveworkguidejune2017web.pdf
Royal Freemasons		http://chinesebusinessguide.com.au/cbg-informations/nursingAtoE.asp
Royal Freemasons		
Royal Freemasons		http://chinesebusinessguide.com.au/cbg-informations/nursingPtoT.asp
Royal Freemasons		
Mayflower		https://www.caringco.com.au/providers/mayflower-brighton-residential-aged-care
Mayflower		https://www.mayflower.org.au/mayflower-macleod
VMCH		
VMCH		
VMCH		
Country Club Living		https://www.retirementaustralialiving.com.au/copy-of-qld-1
Australian Unity		https://keyton.com.au/home/our-villages/vic/meadowvale
mecwacare		https://www.mecwacare.org.au/services/retirement-living/pascoe-vale-gardens/
mecwacare		https://www.mecwacare.org.au/services/retirement-living/the-pines/
		https://www.melaleucaagedcare.com.au/independentliving
		https://australia-streets.openalfa.com/coolaroo
		https://abr.business.gov.au/AbnHistory/View/91330198828
Menzies		https://keyton.com.au/home/our-villages/vic/menzies-malvern
Mercy Health		https://abr.business.gov.au/Search/ResultsAll?SearchText=mercy+health+and+aged+care
Mercy Health		https://retirement-living.mercyhealth.com.au/villages/mercy-place-parkville/
Levande		https://www.lifestylecommunities.com.au/retirement-villages/mernda
Australian Unity		https://prezi.com/p/jozr7wxz8lhr/everyday-hero/
Australian Unity		https://transportvic.me/bus/timings/ballarat-north/midlands-terrace-retirement-village-doveton-street-north
Mildura Gardens		https://www.barryplant.com.au/sold-properties/2-335-eighth-street-mildura-vic-3500-142895/
		
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/mingarra/
Mitchell House		https://mitchellhouse.com.au
Australian Unity		https://www.royalfreemasons.org.au/royal-freemasons-sells-monash-gardens-village-to-auscare-retirement/
Australian Unity		https://www.monashretirementcommunity.com.au/
		https://www.goguide.com.au/find/retirement-villages-homes/toorak-vic
Australian Unity		https://morgangleniris.com.au/
Australian Unity		https://www.goguide.com.au/find/retirement-villages-homes/mount-martha-vic
		https://www.mornpen.vic.gov.au/files/assets/public/v/1/new-website-documents/about-us/strategies-amp-plans/docs/elder_citizens_strategy.pdf
		https://www.truelocal.com.au/vic/leongatha/mountain-view-retirement-village-15251429
Moyola Gardens		https://moyola.com.au/moyola-gardens/
Australian Unity		https://mail.ageinginplaceretirement.com.au/mount-martha-retirement-village
		
Murchison Community Care		https://www.greatershepparton.com.au/assets/files/documents/governance/meetings/2012/11/121116_Agenda_Ordinary_Council_Meeting_20_November_2012.pdf
Royal Freemasons		https://www.royalfreemasons.org.au/
Australian Unity		
Nazareth Care		https://nazarethcare.com.au/locations/ballarat/
Ryman Healthcare		https://www.rymanhealthcare.com.au/retirement-villages/melbourne/nellie-melba
		https://www.shannonturpin.com/CCCHS/display.php
Australian Unity		https://www.asx.com.au/asxpdf/20200825/pdf/44lvsd6hkvcknt.pdf
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/oak-tree-hill/
Oak Tree Group		https://insolvencynotices.com.au/archive/archive_490.html
Outlook Christian Village		https://outlookcl.com.au/retirement-village-living/outlook-gardens-christian-retirement-village/
Australian Unity		https://kids.kiddle.co/Paddington,_New_South_Wales
Australian Unity		https://www.heraldsun.com.au/leader/berkeley-patterson-lakes-supreme-court-bid-for-exresidents-of-failed-retirement-village/news-story/91a9c5aed6f02639e62ae93c7391c682
Keyton		https://pavilionsblackburnlake.com.au/
Australian Unity		https://www.australianunity.com.au/assisted-living/aged-care/peninsula-grange?srsltid=AfmBOoplEJdy8-6xclg3WLSnfuk4ecm0_EW5XQqiEwOivpuPvhnpU_xz
Lifestyle Communities		https://www.peninsulalifestyleretirementvillage.com.au/villas-for-sale/
		
Australian Unity		https://keyton.com.au/home/our-villages/vic/melbourne
Australian Unity		https://www.instagram.com/p/DS_8fWoD9N9/
		https://www.health.gov.au/sites/default/files/2026-01/aged_care_consequential_and_transitional_provisions_deeming_of_registered_providers_determination_2025_schedule_3.docx
Levande		https://northern.starweekly.com.au/news/epping-retirees-to-get-a-lesson-in-bowls-from-carla-krizanic/
Australian Unity		https://retirement.vmch.com.au/our-communities/point-cook
Levande		https://retirementliving.bynder.com/m/5e249893224d4cf6/original/PPLV_Port-Phillip-Village-Factsheet-October-2024.pdf
Levande		https://keyton.com.au/home/our-villages/vic/port-phillip-village
Princes Court Ltd		https://princescourt.com.au/villa-type/
MiCare		https://www.micare.com.au/princess-margriet-village/
Probus Womenâ€™s Housing		https://cotavic.org.au/wp-content/uploads/2025/02/1975-1976.pdf
Australian Unity		https://prospecthillcamberwell.com.au/services/
Providence		
Providence		http://stpatrickspakenham.com.au/wp-content/uploads/2017/09/shanagolden-village-rl-brochure_vmch.pdf
Ryman Healthcare		
Querencia Living		
Ryman Healthcare		https://www.rymanhealthcare.com.au/retirement-villages/melbourne/raelene-boyle
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/redmond-park/
Renaissance Living		https://renaissanceliving.com.au/
Restdown		https://djsir.vic.gov.au/__data/assets/pdf_file/0019/2324143/DJSIR-Annual-Report-2023-24-Appendix-13-Grants-and-related-assistance.pdf
		
VMCH		https://residential-care.mercyhealth.com.au/homes/aged-care-homes/mercy-place-rice-village/
Australian Unity		https://heraldsun.com.au/news/sponsored-content/retirement-options-never-looked-better/news-story/19ed747da48d7019b6994300215b242e
Australian Unity		https://www.maroondah.vic.gov.au/files/assets/public/v/1/documents/about-council/strategies-and-plans/rmac-background-report.pdf
		https://www.instagram.com/p/C0C__zcybFZ/
Tigcorp		https://www.rivervue.com.au/
RM Begg		
Ryman Healthcare		
Shepparton Villages		https://www.truelocal.com.au/find/retirement-villages/kialla-vic-3631
Rose Lifestyle Villages		https://www.roselifestylevillage.com.au/
Benetas		https://www.kurrajong.com.au/wp-content/uploads/2021/10/Kurrajong-Annual-Report-2014-2015.pdf
Australian Unity		https://www.lifestylecommunities.com.au/retirement-villages/rosebud
Australian Unity		https://www.realtor.com/apartments/Ypsilanti_MI/schools/Rawsonville-Elementary-School-0737193121
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/roseville/
Old Colonistsâ€™ Association		https://www.aboundcommunities.org.au/locations/north-fitzroy-rushall-park
Keyton		https://www.arcadiagroup.com.au/village/rylands/rylands-of-hawthorn/
Keyton		https://www.arcadiagroup.com.au/village/rylands/rylands-of-kew/
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/sackville-grange/
VMCH		https://sacredheartvillage.com
Australian Unity		https://www.careopinion.org.au/services/20440
Australian Unity		https://www.caringco.com.au/providers/wantirna-views-care-community
		https://www.adelaidenow.com.au/news/south-australia/villawood-construction-site-has-turned-seacliff-into-a-dustbowl-residents-say/news-story/460caf260b892ec12e39c8cc9278f83f
Australian Unity		https://www.aer.gov.au/industry/registers/network-exemptions/selandra-rise-retirement-village-pty-limited-5-harmony-chase-network-exemption
Australian Unity		https://retirement.vmch.com.au/our-communities/shanagolden-pakenham
		https://www.agedcaremadeeasy.com.au/listings/bluecross-sheridan-hall-caulfield/?srsltid=AfmBOopCr_jvbm6GQtJUeVOPI05XCRbba9IoKxMbs6eFNevmfz0Xfbjj
Levande		https://downsizingmadesimple.com.au/discover-retirement-living-with-levande-syd-mel-adel-24-27-nov-2025/
Sirovilla		http://wikimapia.org/35005270/Sirovilla-Retirement-Village
		
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/springthorpe/
		
Australian Unity		https://mycouncil.surreycc.gov.uk/olddocuments/Item%2009%20-%20Annex%203%20-%20Summary%20of%20Reps.pdf?F=Item%2009%20-%20Annex%203%20-%20Summary%20of%20Reps.pdf&MId=1172&D=20100603&A=1&R=0
Jewish Care Victoria		https://www.gumtree.com.au/s-real-estate/darnum-la-trobe/page-5/c9296l3001103r100?view=gallery
Australian Unity		https://kew.au.expertini.com/jobs/in/operational-support-officer-kew-department-of-families-fairness-and-housing/
		
Abound Communities		https://www.aboundcommunities.org.au/locations/st-helena-leith-park
Australian Unity		https://www.communitygrants.gov.au/sites/default/files/documents/2022-06/577-2017-940-bfs-kiosk-listing.xlsx
Australian Unity		https://housingcare.org/elderly-uk-sheltered-housing/area-1-surrey
		https://www.gen-agedcaredata.gov.au/getmedia/b1db66bc-25ac-49c4-9421-98e4475a77de/VIC_Service_List_2017.pdf
		https://www.health.gov.au/sites/default/files/documents/2022/08/foi-3882---release-documents-higher-accommodation-supplement-aged-care-facilities.pdf
		
		
		
St Vincentâ€™s Care		https://retirement.vmch.com.au/our-communities/st-josephs-mews-hawthorn
St Vincentâ€™s Care		
Baptcare		https://www.genu.org.au/retirement-living/st-laurence-park-retirement-village/
		
		
Old Colonistsâ€™ Association		https://www.monumentaustralia.org/themes/culture/indigenous
Australian Unity		
VMCH		
St Vincentâ€™s Care		https://www.agedcaremadeeasy.com.au/listings/st-vincents-care-services-eltham-eltham-lodge/?srsltid=AfmBOorrm19RQg8Ui1eX5zz2HqBUywtrIStzkueKDQhOQrut6d5Ynf1e
VMCH		http://stpatrickspakenham.com.au/wp-content/uploads/2017/09/shanagolden-village-rl-brochure_vmch.pdf
Australian Unity		https://www.auscompanies.com/en/58143773406/STRABANE-HEIGHTS-RETIREMENT
Strath Haven		https://www.dailycare.com.au/respite-care/in-vic/uniting-agewell-strath-haven-community-BXL-COXXSDG8ymWMlZm7Wg
		
Australian Unity		
Australian Unity		
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/streeton-park/
Stretton Park		https://www.health.gov.au/sites/default/files/documents/2022/08/foi-3882---release-documents-higher-accommodation-supplement-aged-care-facilities.pdf
Summerset		https://www.summerset.com.au/find-a-village/victoria/summerset-chirnside-park/
Summerset		https://www.summerset.com.au/find-a-village/victoria/summerset-cranbourne-north/
Summerset		https://www.summerset.com.au/find-a-village/victoria/summerset-oakleigh-south/
Sunnyside Lutheran Homes		https://www.dailycare.com.au/residential-aged-care/in-vic/sunnyside-lutheran-retirement-village-_LKxxoLLR4m7QgyXIk6Fww
Swan Hill District Health		https://swanhillvillage.com.au/
		https://www.sylvanglades.com.au/assets/images/Sylvan-Glades-Inc-Annual-Report-2023-24.pdf
TTHA		
Shepparton Villages		https://www.vec.vic.gov.au/-/media/8cf897b20b624d0faf1acc7ae470df89.pdf
Australian Unity		https://www.property.com.au/vic/tarneit-3029/retirement/buy/
Australian Unity		https://results.aec.gov.au/13745/website/HousePollingPlaceFirstPrefs-13745-31529.htm
		https://tarrangowervillage.com.au
Australian Unity		https://centennialliving.com.au/village/taylors-hill-village/
Australian Unity		https://www.boltonclarke.com.au/living-options/residential-aged-care/templestowe-manor/
Australian Unity		https://www.planningalerts.org.au/applications/3377891
Australian Unity		https://www.theweeklysource.com.au/australian-unitys-the-alba-care-suites-accepts-first-residents/
Private Operator		https://www.thebensontoorak.com.au/
RCA Villages		https://www.seek.com.au/retirement-village-jobs/in-Torquay-VIC-3228
Australian Unity		https://keyton.com.au/home/our-villages/vic/the-brighton-on-bay
Australian Unity		https://www.realestatesource.com.au/balwyns-landmark-the-connault-for-sale/
Australian Unity		https://thecrescentbrighton.com.au/
		https://www.freshcareers.com.au/jobs/job-detail/job-The-Elms-Retirement-Estate-Village-Manager-Morton-Philips-420
		https://mcdaust.com.au/portfolio-posts/the-elms-retirement-village/
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/the-george/
Australian Unity		https://www.australianunity.com.au/assisted-living/retirement-communities/locations/victoria/thegracealbertparklake?srsltid=AfmBOoqPXN5TBVhfg97y4Na50c-kdcdjyoWY1lcge3BykXaAcune6Yrx
		https://thehealey.com.au/
Australian Unity		https://www.tlchealthcare.com.au/location/donvale/aged-care/
Australian Unity		
Australian Unity		https://keyton.com.au/home/our-villages/vic/the-links-at-waterford
		https://www.sirovilla.org.au/2025/04/401
Australian Unity		https://www.southerncrosscare.com.au/locations/retirement-living/mornington-retirement-village
Australian Unity		https://www.theweeklysource.com.au/benetas-bid-to-redevelop-the-oaks-retirement-village-in-gisborne-vic-advances/
Australian Unity		https://therange.com.au
Australian Unity		https://www.australianunity.com.au/AssistedLiving/RebrandRetirementProperty/DownloadPdf/12983151?srsltid=AfmBOooqbNBzIKKrMOOuI6qMd2S5on3p7gcmCUHxLEbU_Q14GVpQXzs6
Australian Unity		
Australian Unity		https://ageingaustralia.asn.au/extlink/agedcaretoday/Ageing-Australia-Aged-Care-Today-magazine-spring-2025.pdf
Village Baxter		https://villagebaxter.com/
Village Glen		https://www.villageglen.com.au/homecare/services/
Australian Unity		https://keyton.com.au/home/our-villages/vic/the-village-williamstown
		https://www.mcgrath.com.au/property/100-highton-lane-mansfield-vic-3722-121P0933
		
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/toorak-place/
		
Jewish Care Victoria		https://www.heritage.vic.gov.au/__data/assets/pdf_file/0025/512287/Survey-of-post-war-built-heritage-in-Victoria-Stage-1-Heritage-Alliance-2008_Part1.pdf
Australian Unity		
Keyton		https://www.tudorvillage.com.au/
Australian Unity		
Uniting AgeWell		
Ukrainian Elderly Peoples Home		http://chinesebusinessguide.com.au/cbg-informations/nursingAtoE.asp
UrbanLife		https://www.urbanlifegroup.com.au/projects
UrbanLife		
UrbanLife		
UrbanLife		
UrbanLife		
		https://www.unitingagewell.org/location/valkstone/
Australian Unity		https://resources.reglii.com/VGG.2000.3.2.G9.pdf
Vermont Elderly Homes		
Vermont Retirement Village		
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/veronica-gardens/
Australian Unity		https://www.australianunity.com.au/assisted-living/retirement-communities/locations/victoria/victoria-grange?srsltid=AfmBOorJAnIxFVmiYX02TnoWijM2VPo7IKb2dvjGsZne_S9HwWZL3ibe
Australian Unity		https://keyton.com.au/home/our-villages/vic/viewbank-gardens
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
VMCH		
		https://listingloop.com.au/properties/victoria/yarragon-3823/39/
		https://insolvencynotices.com.au/archive/archive_186.html
Australian Unity		https://www.agedcarefind.com.au/agedcare/retirement/vic/kilsyth/walmsley-friendship-village/20714
Wesley Homes		https://www.audit.vic.gov.au/sites/default/files/19631015-Finance-Statement-1962-63.pdf
Keyton		https://www.studfieldwantirnanews.org/wp-content/uploads/2024/12/SWCN-Edition-93_Web.pdf
Warramunda		https://hrsa.com.au/wp-content/uploads/2023/02/Warramunda-Financial-Accountant-Candidate-Information-1_compressed.pdf
Australian Unity		https://www.communitygrants.gov.au/sites/default/files/documents/2022-06/577-2017-940-bfs-kiosk-listing.xlsx
Australian Unity		https://keyton.com.au/home/our-villages/vic/waterford-park
Australian Unity		https://keyton.com.au/home/our-villages/vic/rowville-villages
		https://www.realtor.com/international/au/seaford-vic/residential-developer/
Australian Unity		https://keyton.com.au/home/our-villages/vic
Ryman Healthcare		https://www.rymanhealthcare.com.au/retirement-villages/melbourne/weary-dunlop
Australian Unity		https://retirement-living.mercyhealth.com.au/villages/mercy-place-rice-village/
Westmont		https://www.westmont.org.au/services/westmont-apartments/
Westmont		https://scopepc.com.au/project_category/retirement/
		https://www.unitingagewell.org/location/white-hills-haven/
Australian Unity		https://www.menlopark.gov/files/sharedassets/public/v/1/community-development/documents/projects/under-review/willow-village/draft-eir/willow-village-comprehensive-draft-eir-comments.pdf
		https://seniorhousingnews.com/2010/03/23/keyinvest-makes-land-purchase-for-wimmera-lodge/
		
Australian Unity		https://windsorpark.com.au
Wintringham		https://www.wintringham.org.au/mclean_lodge.html
Wintringham		https://www.dailycare.com.au/residential-aged-care/in-vic/around-drumanure-3636?page=20
Wonthaggi Elderly Citizens		https://roselodge.com.au/
Australian Unity		https://www.northumbria-cottages.co.uk/lodges-with-hot-tubs.html
		https://www.bendigoadvertiser.com.au/story/2659396/luxury-retirement-village-in-woodend/
Australian Unity		https://www.health.gov.au/sites/default/files/2025-12/covid-19-vaccination-rates-in-residential-aged-care-12-december-2025.pdf
Woorayl Lodge		
Australian Unity		https://centennialliving.com.au/village/wyndham-grange-village/
Australian Unity		https://centennialliving.com.au/village/wyndham-grange-village/
Yackandandah Health		
		http://52.187.238.19:8888/m/index;jsessionid=787B902D38BC76106297A3878394BD3E?q=683&l=
		https://www.yarrbatplace.com.au/
Uniting Agewell		
